"","ReefName","CullSiteName","Year","MaxCPUE","CPUE","Total","Bottomtime","cots_density_cpue","cots_problem","x","y","benthic_class","geomorphic_class","dist_to_benth","dist_to_geo","infill_benth","infill_geo"
"71","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_108",2023,0.00285714285714286,0.000985221674876847,1,1015,0.000985221674876847,0,147.743,-18.935,"Rubble","Sheltered Reef Slope",52.2716571648236,0,"Rubble",NA
"72","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_109",2021,0.009375,0.009375,3,320,0.009375,0,147.7896,-18.9261,"Rubble","Back Reef Slope",87.4855502945077,0,"Rubble",NA
"73","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_11",2023,0.01,0.00666666666666667,4,600,0.00666666666666667,0,147.7338,-18.8567,"Rock","Outer Reef Flat",0,0,NA,NA
"74","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_110",2020,0,0,0,302,0,0,147.7403,-18.9309,NA,"Back Reef Slope",186.051361809511,0,NA,NA
"75","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_110",2023,0.00634920634920635,0.00634920634920635,2,315,0.00634920634920635,0,147.7403,-18.9309,NA,"Back Reef Slope",186.051361809511,0,NA,NA
"76","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_111",2020,0.00324675324675325,0.00324675324675325,1,308,0.00324675324675325,0,147.7378,-18.9275,"Rubble","Back Reef Slope",96.8581610776511,0,"Rubble",NA
"77","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_111",2023,0,0,0,855,0,0,147.7378,-18.9275,"Rubble","Back Reef Slope",96.8581610776511,0,"Rubble",NA
"78","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_111",2024,0,0,0,900,0,0,147.7378,-18.9275,"Rubble","Back Reef Slope",96.8581610776511,0,"Rubble",NA
"79","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_112",2020,0.00346020761245675,0.00328407224958949,2,609,0.00328407224958949,0,147.7768,-18.9108,"Rubble","Reef Slope",83.9622894590084,35.8169945506903,"Rubble","Reef Slope"
"80","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_113",2020,0.00996677740863787,0.00996677740863787,3,301,0.00996677740863787,0,147.7345,-18.9246,"Rock","Back Reef Slope",57.0439307818891,0,"Rock",NA
"81","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_113",2022,0,0,0,600,0,0,147.7345,-18.9246,"Rock","Back Reef Slope",57.0439307818891,0,"Rock",NA
"82","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_113",2024,0.00222222222222222,0.00222222222222222,1,450,0.00222222222222222,0,147.7345,-18.9246,"Rock","Back Reef Slope",57.0439307818891,0,"Rock",NA
"83","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_113",2025,0.0111111111111111,0.00833333333333333,3,360,0.00833333333333333,0,147.7345,-18.9246,"Rock","Back Reef Slope",57.0439307818891,0,"Rock",NA
"84","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_114",2020,0.033112582781457,0.0142543859649123,13,912,0.0142543859649123,0,147.7182,-18.8836,"Rock","Sheltered Reef Slope",50.1216510831654,0,"Rock",NA
"85","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_114",2022,0.00666666666666667,0.00666666666666667,2,300,0.00666666666666667,0,147.7182,-18.8836,"Rock","Sheltered Reef Slope",50.1216510831654,0,"Rock",NA
"86","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_114",2023,0.005,0.0025,2,800,0.0025,0,147.7182,-18.8836,"Rock","Sheltered Reef Slope",50.1216510831654,0,"Rock",NA
"87","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_114",2024,0.00571428571428571,0.00272727272727273,3,1100,0.00272727272727273,0,147.7182,-18.8836,"Rock","Sheltered Reef Slope",50.1216510831654,0,"Rock",NA
"88","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_115",2022,0.0133333333333333,0.01,6,600,0.01,0,147.7308,-18.9215,"Coral/Algae","Back Reef Slope",0,0,NA,NA
"89","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_115",2023,0.0210526315789474,0.0171052631578947,13,760,0.0171052631578947,0,147.7308,-18.9215,"Coral/Algae","Back Reef Slope",0,0,NA,NA
"90","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_115",2024,0.0166666666666667,0.00952380952380952,10,1050,0.00952380952380952,0,147.7308,-18.9215,"Coral/Algae","Back Reef Slope",0,0,NA,NA
"91","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_115",2025,0.0125,0.00987654320987654,4,405,0.00987654320987654,0,147.7308,-18.9215,"Coral/Algae","Back Reef Slope",0,0,NA,NA
"92","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_116",2021,0.009375,0.009375,3,320,0.009375,0,147.7281,-18.9172,"Rock","Sheltered Reef Slope",88.3659956092217,0,"Rock",NA
"93","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_116",2024,0.00444444444444444,0.0019047619047619,2,1050,0.0019047619047619,0,147.7281,-18.9172,"Rock","Sheltered Reef Slope",88.3659956092217,0,"Rock",NA
"94","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_117",2020,0.0174216027874564,0.0174216027874564,5,287,0.0174216027874564,0,147.7182,-18.8884,"Coral/Algae","Sheltered Reef Slope",89.2260344124976,69.6829896308881,"Coral/Algae","Sheltered Reef Slope"
"95","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_117",2022,0,0,0,600,0,0,147.7182,-18.8884,"Coral/Algae","Sheltered Reef Slope",89.2260344124976,69.6829896308881,"Coral/Algae","Sheltered Reef Slope"
"96","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_118",2020,0.02,0.02,6,300,0.02,1,147.7152,-18.8928,"Rock","Back Reef Slope",50.9543701224854,41.3995822555868,"Rock","Back Reef Slope"
"97","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_118",2022,0.00298507462686567,0.00149253731343284,1,670,0.00149253731343284,0,147.7152,-18.8928,"Rock","Back Reef Slope",50.9543701224854,41.3995822555868,"Rock","Back Reef Slope"
"98","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_118",2023,0.00625,0.00520833333333333,5,960,0.00520833333333333,0,147.7152,-18.8928,"Rock","Back Reef Slope",50.9543701224854,41.3995822555868,"Rock","Back Reef Slope"
"99","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_119",2020,0.0199335548172757,0.0128824476650564,8,621,0.0128824476650564,0,147.7287,-18.9126,"Sand","Inner Reef Flat",0,0,NA,NA
"100","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_119",2023,0.0157894736842105,0.00789473684210526,6,760,0.00789473684210526,0,147.7287,-18.9126,"Sand","Inner Reef Flat",0,0,NA,NA
"101","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_119",2024,0.00222222222222222,0.00222222222222222,1,450,0.00222222222222222,0,147.7287,-18.9126,"Sand","Inner Reef Flat",0,0,NA,NA
"102","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_121",2020,0.071875,0.0442477876106195,70,1582,0.0442477876106195,1,147.7098,-18.8941,"Sand","Back Reef Slope",52.5430513721939,52.5430513721939,"Sand","Back Reef Slope"
"103","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_121",2022,0.0395348837209302,0.0326359832635983,39,1195,0.0326359832635983,1,147.7098,-18.8941,"Sand","Back Reef Slope",52.5430513721939,52.5430513721939,"Sand","Back Reef Slope"
"104","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_121",2023,0.0238805970149254,0.0134328358208955,9,670,0.0134328358208955,0,147.7098,-18.8941,"Sand","Back Reef Slope",52.5430513721939,52.5430513721939,"Sand","Back Reef Slope"
"105","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_121",2024,0.025,0.025,4,160,0.025,1,147.7098,-18.8941,"Sand","Back Reef Slope",52.5430513721939,52.5430513721939,"Sand","Back Reef Slope"
"106","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_122",2020,0.15,0.101968503937008,259,2540,0.101968503937008,1,147.7055,-18.8922,"Rock","Reef Slope",80.8729249245434,80.8729249245434,"Rock","Reef Slope"
"107","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_122",2021,0.2875,0.118968692449355,323,2715,0.118968692449355,1,147.7055,-18.8922,"Rock","Reef Slope",80.8729249245434,80.8729249245434,"Rock","Reef Slope"
"108","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_122",2022,0.0633333333333333,0.0421711899791232,101,2395,0.0421711899791232,1,147.7055,-18.8922,"Rock","Reef Slope",80.8729249245434,80.8729249245434,"Rock","Reef Slope"
"109","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_122",2023,0.017910447761194,0.0139372822299652,20,1435,0.0139372822299652,0,147.7055,-18.8922,"Rock","Reef Slope",80.8729249245434,80.8729249245434,"Rock","Reef Slope"
"110","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_122",2024,0.0875,0.0375,60,1600,0.0375,1,147.7055,-18.8922,"Rock","Reef Slope",80.8729249245434,80.8729249245434,"Rock","Reef Slope"
"111","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_122",2025,0.05,0.0375,45,1200,0.0375,1,147.7055,-18.8922,"Rock","Reef Slope",80.8729249245434,80.8729249245434,"Rock","Reef Slope"
"112","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_123",2025,0,0,0,444,0,0,147.7315,-18.9041,"Sand","Sheltered Reef Slope",91.4783652477464,0,"Sand",NA
"113","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_124",2020,0.158940397350993,0.090032154340836,56,622,0.090032154340836,1,147.7025,-18.8884,"Rock","Back Reef Slope",53.253468929275,53.253468929275,"Rock","Back Reef Slope"
"114","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_124",2021,0.166666666666667,0.127685950413223,309,2420,0.127685950413223,1,147.7025,-18.8884,"Rock","Back Reef Slope",53.253468929275,53.253468929275,"Rock","Back Reef Slope"
"115","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_124",2022,0.210526315789474,0.0730319317104015,231,3163,0.0730319317104015,1,147.7025,-18.8884,"Rock","Back Reef Slope",53.253468929275,53.253468929275,"Rock","Back Reef Slope"
"116","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_124",2023,0.04,0.013768115942029,19,1380,0.013768115942029,0,147.7025,-18.8884,"Rock","Back Reef Slope",53.253468929275,53.253468929275,"Rock","Back Reef Slope"
"117","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_124",2024,0.113333333333333,0.0557903634826712,132,2366,0.0557903634826712,1,147.7025,-18.8884,"Rock","Back Reef Slope",53.253468929275,53.253468929275,"Rock","Back Reef Slope"
"118","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_124",2025,0.096,0.0523076923076923,68,1300,0.0523076923076923,1,147.7025,-18.8884,"Rock","Back Reef Slope",53.253468929275,53.253468929275,"Rock","Back Reef Slope"
"119","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_125",2020,0.07,0.0478723404255319,45,940,0.0478723404255319,1,147.7048,-18.8836,"Rubble","Back Reef Slope",56.3193984960039,43.888676212192,"Rubble","Back Reef Slope"
